wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,price,horsepower,peak-rpm,city-mpg,highway-mpg
99.1,186.6,66.5,56.1,2658,121,3.54,3.07,11850,110,5250,21,28
99.1,186.6,66.5,56.1,2695,121,3.54,3.07,12170,110,5250,21,28
99.1,186.6,66.5,56.1,2707,121,2.54,2.07,15040,110,5250,21,28
99.1,186.6,66.5,56.1,2758,121,3.54,3.07,15510,110,5250,21,28
99.1,186.6,66.5,56.1,2808,121,3.54,3.07,18150,160,5500,19,26
99.1,186.6,66.5,56.1,2847,121,3.54,3.07,18620,160,5500,19,26
107.9,186.7,68.4,56.7,3020,120,3.46,3.19,11900,97,5000,19,24
107.9,186.7,68.4,56.7,3197,152,3.7,3.52,13200,95,4150,28,33
107.9,186.7,68.4,56.7,3075,120,3.46,2.19,15580,95,5000,19,24
107.9,186.7,68.4,56.7,3075,120,3.46,3.19,16630,97,5000,19,24
107.9,186.7,68.4,56.7,3252,152,3.7,3.52,16900,95,4150,28,33
107.9,186.7,68.4,56.7,3252,152,3.7,3.52,17950,95,4150,28,33
108,186.7,68.3,56,3130,134,3.61,3.21,18150,142,5600,18,24
106.7,187.5,70.3,54.9,3495,183,3.58,3.64,28176,123,4350,22,25
104.5,187.8,66.5,54.1,3131,171,3.27,3.35,15690,156,5200,20,24
104.3,188.8,67.2,56.2,2912,141,3.78,3.15,12940,114,5400,23,28
104.3,188.8,67.2,57.5,3034,141,3.78,3.15,13415,114,5400,23,28
104.3,188.8,67.2,56.2,2935,141,3.78,3.15,15985,114,5400,24,28
104.3,188.8,67.2,57.5,3042,141,3.78,3.15,16515,114,5400,24,28
104.3,188.8,67.2,56.2,3045,130,3.62,3.15,18420,162,5100,17,22
104.3,188.8,67.2,57.5,3157,130,3.62,3.15,18950,162,5100,17,22
109.1,188.8,68.9,55.5,2952,141,3.78,3.15,16845,114,5400,23,28
109.1,188.8,68.8,55.5,3049,141,3.78,3.15,19045,160,5300,19,25
109.1,188.8,68.9,55.5,3012,173,3.58,2.87,21485,134,5500,18,23
109.1,188.8,68.9,55.5,3217,145,3.01,3.4,22470,106,4800,26,27
109.1,188.8,68.9,55.5,3062,141,3.78,3.15,22625,114,5400,19,25
110,190.9,70.3,56.5,3515,183,3.58,3.64,25552,123,4350,22,25
110,190.9,70.3,58.7,3750,183,3.58,3.64,28248,123,4350,22,25
105.8,192.7,71.4,55.7,2844,136,3.19,3.4,17710,110,5500,19,25
105.8,192.7,71.4,55.9,3086,131,3.13,3.4,23875,140,5500,17,20
113,199.6,69.6,52.8,4066,258,3.63,4.17,32250,176,4750,15,19
115.6,202.6,71.7,56.3,3770,183,3.58,3.64,31600,123,4350,22,25
